,index,stress,reaction_time,id_user,physical_activity,airplane_mode,surrounding_sound,screen,battery_level,completion_time,day_of_week,mobile_data,delivery_time,wifi,interruptibility_level,stress_level,charge_status,notification_ringtone,current_activity,priority_current_activity,id_user,attention_level,emotions,timestamp,interaction_others
0,210.0,0.0,2023-11-30 18:12:58.266000+00:00,Ep2LC68YIjMF97rWUWRW,0.0,False,90.30873107910156,False,80.0,2023-11-30 18:13:20.910000+00:00,4.0,False,2023-11-30 18:12:09.880000+00:00,True,4.0,1.0,False,2.0,Hablar,2.0,Ep2LC68YIjMF97rWUWRW,3.0,"{'fearful': 0.000797479085673381, 'disgusted': 0.0005751696107435598, 'angry': 0.010812119007133995, 'sad': 0.40428756363053253, 'surprised': 0.0006902435267881937, 'neutral': 0.37330730311976584, 'happy': 0.20953012166565338}",2023-11-30 18:12:09.130000+00:00,0.0
1,247.0,0.0,2023-11-30 18:03:42.214000+00:00,Ep2LC68YIjMF97rWUWRW,0.0,False,90.30873107910156,False,81.0,2023-11-30 18:03:53.750000+00:00,4.0,False,2023-11-30 17:42:09.915000+00:00,True,3.0,1.0,False,2.0,Leer,4.0,Ep2LC68YIjMF97rWUWRW,3.0,"{'fearful': 0.0051692121374170485, 'disgusted': 0.00020345889941485664, 'angry': 0.01133171112813715, 'sad': 0.3598736712637118, 'surprised': 0.0009528563512238281, 'neutral': 0.5827294464334343, 'happy': 0.039739651181491226}",2023-11-30 17:42:09.126000+00:00,0.0
2,114.0,0.0,2023-11-30 17:12:56.467000+00:00,Ep2LC68YIjMF97rWUWRW,0.0,False,90.30873107910156,False,83.0,2023-11-30 17:13:09.833000+00:00,4.0,False,2023-11-30 17:12:10.237000+00:00,True,3.0,1.0,False,2.0,Trabajar,4.0,Ep2LC68YIjMF97rWUWRW,3.0,"{'fearful': 3.0783385049061585e-05, 'disgusted': 4.15255293457345e-06, 'angry': 0.0028713226156090363, 'sad': 0.02723762723026842, 'surprised': 0.00046725013433236245, 'neutral': 0.9196499527606647, 'happy': 0.04973892120540313}",2023-11-30 17:12:09.292000+00:00,0.0
3,87.0,0.0,2023-11-30 16:42:38.859000+00:00,Ep2LC68YIjMF97rWUWRW,0.0,False,90.30873107910156,False,84.0,2023-11-30 16:42:55.375000+00:00,4.0,False,2023-11-30 16:42:09.955000+00:00,True,4.0,1.0,False,2.0,Hablar,3.0,Ep2LC68YIjMF97rWUWRW,3.0,,2023-11-30 16:42:09.124000+00:00,
4,64.0,0.0,2023-11-30 16:30:53.627000+00:00,Ep2LC68YIjMF97rWUWRW,0.0,False,90.30873107910156,False,86.0,2023-11-30 16:30:53.774000+00:00,4.0,False,2023-11-30 16:12:09.965000+00:00,True,5.0,1.0,False,2.0,Otros,3.0,Ep2LC68YIjMF97rWUWRW,,,2023-11-30 16:12:08.988000+00:00,
5,217.0,0.0,2023-11-30 15:42:33.524000+00:00,Ep2LC68YIjMF97rWUWRW,0.0,False,70.7513427734375,False,87.0,2023-11-30 15:42:55.437000+00:00,4.0,False,2023-11-30 15:42:09.874000+00:00,True,3.0,1.0,False,2.0,Trabajar,3.0,Ep2LC68YIjMF97rWUWRW,3.0,"{'fearful': 0.00828965167356597, 'disgusted': 0.0010895020867715867, 'angry': 0.03830508180803599, 'sad': 0.3768521692077576, 'surprised': 0.002607696335718302, 'neutral': 0.5548311083724625, 'happy': 0.018024786340686806}",2023-11-30 15:42:08.947000+00:00,0.0
6,80.0,0.0,,Ep2LC68YIjMF97rWUWRW,0.0,False,60.937705993652344,False,88.0,,4.0,False,2023-11-30 15:12:09.896000+00:00,True,,2.0,False,2.0,,,Ep2LC68YIjMF97rWUWRW,,,2023-11-30 15:12:07.968000+00:00,
7,271.0,0.0,,Ep2LC68YIjMF97rWUWRW,0.0,False,77.7860336303711,False,90.0,,4.0,False,2023-11-30 14:42:09.910000+00:00,True,,4.0,False,2.0,,,Ep2LC68YIjMF97rWUWRW,,,2023-11-30 14:42:08.039000+00:00,
8,140.0,0.0,,IRe1FM7QipWVKWTEORJu,0.0,False,81.20337677001953,False,70.0,,2.0,False,2023-12-05 21:55:27.242000+00:00,True,,2.0,False,2.0,,,IRe1FM7QipWVKWTEORJu,3.0,"{'fearful': 5.042114580472172e-06, 'disgusted': 0.007412723157205529, 'angry': 0.007205996705970897, 'sad': 0.01718299639490933, 'surprised': 0.017039671914818696, 'neutral': 0.947734903626972, 'happy': 0.003418675029889316}",2023-12-05 21:55:30.975000+00:00,0.0
9,153.0,0.0,2023-12-05 21:25:36.101000+00:00,IRe1FM7QipWVKWTEORJu,0.0,False,86.72798919677734,True,72.0,2023-12-05 21:26:46.767000+00:00,2.0,False,2023-12-05 21:25:27.358000+00:00,True,3.0,3.0,False,2.0,Hablar,4.0,IRe1FM7QipWVKWTEORJu,3.0,"{'fearful': 0.012749381899619416, 'disgusted': 0.04061933102578711, 'angry': 0.18007840266434913, 'sad': 0.037292682570662185, 'surprised': 0.01940150597495564, 'neutral': 0.3179394191659124, 'happy': 0.3919192801453967}",2023-12-05 21:25:29.887000+00:00,0.0
