Column1;stress;reaction_time;id_user;physical_activity;airplane_mode;surrounding_sound;screen;battery_level;completion_time;day_of_week;mobile_data;delivery_time;wifi;interruptibility_level;stress_level;charge_status;notification_ringtone;current_activity;priority_current_activity;id_user_1;attention_level;emotions;timestamp;interaction_others
4;0;30/11/2023 11:30;Ep2LC68YIjMF97rWUWRW;0;FALSO;90.30873108;FALSO;86;30/11/2023 11:30;4;FALSO;30/11/2023 11:12;VERDADERO;5;1;FALSO;2;Otros;3;Ep2LC68YIjMF97rWUWRW;;;30/11/2023 11:12;
5;0;30/11/2023 10:42;Ep2LC68YIjMF97rWUWRW;0;FALSO;70.75134277;FALSO;87;30/11/2023 10:42;4;FALSO;30/11/2023 10:42;VERDADERO;3;1;FALSO;2;Trabajar;3;Ep2LC68YIjMF97rWUWRW;3;{'fearful': 0.00828965167356597, 'disgusted': 0.0010895020867715867, 'angry': 0.03830508180803599, 'sad': 0.3768521692077576, 'surprised': 0.002607696335718302, 'neutral': 0.5548311083724625, 'happy': 0.018024786340686806};30/11/2023 10:42;0
6;0;;Ep2LC68YIjMF97rWUWRW;0;FALSO;60.93770599;FALSO;88;;4;FALSO;30/11/2023 10:12;VERDADERO;;2;FALSO;2;;;Ep2LC68YIjMF97rWUWRW;;;30/11/2023 10:12;
7;0;;Ep2LC68YIjMF97rWUWRW;0;FALSO;77.78603363;FALSO;90;;4;FALSO;30/11/2023 09:42;VERDADERO;;4;FALSO;2;;;Ep2LC68YIjMF97rWUWRW;;;30/11/2023 09:42;
8;0;;IRe1FM7QipWVKWTEORJu;0;FALSO;81.20337677;FALSO;70;;2;FALSO;5/12/2023 16:55;VERDADERO;;2;FALSO;2;;;IRe1FM7QipWVKWTEORJu;3;{'fearful': 5.042114580472172e-06, 'disgusted': 0.007412723157205529, 'angry': 0.007205996705970897, 'sad': 0.01718299639490933, 'surprised': 0.017039671914818696, 'neutral': 0.947734903626972, 'happy': 0.003418675029889316};5/12/2023 16:55;0
9;0;5/12/2023 16:25;IRe1FM7QipWVKWTEORJu;0;FALSO;86.7279892;VERDADERO;72;5/12/2023 16:26;2;FALSO;5/12/2023 16:25;VERDADERO;3;3;FALSO;2;Hablar;4;IRe1FM7QipWVKWTEORJu;3;{'fearful': 0.012749381899619416, 'disgusted': 0.04061933102578711, 'angry': 0.18007840266434913, 'sad': 0.037292682570662185, 'surprised': 0.01940150597495564, 'neutral': 0.3179394191659124, 'happy': 0.3919192801453967};5/12/2023 16:25;0
10;0;5/12/2023 16:03;IRe1FM7QipWVKWTEORJu;1;FALSO;90.30873108;FALSO;74;5/12/2023 16:03;2;FALSO;5/12/2023 15:55;VERDADERO;4;5;FALSO;2;Trabajar;3;IRe1FM7QipWVKWTEORJu;;;5/12/2023 15:55;
11;0;5/12/2023 15:30;IRe1FM7QipWVKWTEORJu;0;FALSO;73.18691254;FALSO;76;5/12/2023 15:31;2;FALSO;5/12/2023 15:25;VERDADERO;3;5;FALSO;2;Hablar;2;IRe1FM7QipWVKWTEORJu;;;5/12/2023 15:25;
19;1;;IRe1FM7QipWVKWTEORJu;0;FALSO;74.47075653;FALSO;94;;2;FALSO;5/12/2023 10:17;VERDADERO;;5;FALSO;2;;;IRe1FM7QipWVKWTEORJu;;;5/12/2023 10:17;
20;0;;SAOXbQtictzpnIbCFZv1;0;FALSO;85.66828918;FALSO;84;;2;FALSO;21/11/2023 14:58;VERDADERO;;4;FALSO;2;;;SAOXbQtictzpnIbCFZv1;3;{'fearful': 1.5132302295956838e-06, 'disgusted': 0.027255257460443286, 'angry': 0.5446763676531322, 'sad': 0.26990287519418804, 'surprised': 8.496034510898564e-06, 'neutral': 0.15770971556745092, 'happy': 0.00044577077968908555};21/11/2023 14:58;0
21;0;21/11/2023 13:30;SAOXbQtictzpnIbCFZv1;0;FALSO;69.19689178;FALSO;87;21/11/2023 13:30;2;FALSO;21/11/2023 13:28;VERDADERO;4;2;FALSO;2;Hablar;2;SAOXbQtictzpnIbCFZv1;3;;21/11/2023 13:27;
22;0;21/11/2023 12:59;SAOXbQtictzpnIbCFZv1;0;FALSO;77.23188782;FALSO;89;21/11/2023 13:00;2;FALSO;21/11/2023 12:58;VERDADERO;5;3;FALSO;2;Leer;2;SAOXbQtictzpnIbCFZv1;3;{'fearful': 6.8891109655249365e-06, 'disgusted': 0.0002930529408747681, 'angry': 0.0014655406892525795, 'sad': 0.03504642790094755, 'surprised': 8.626669053779518e-05, 'neutral': 0.9624112424940834, 'happy': 0.0006905702832823231};21/11/2023 12:57;0
23;0;21/11/2023 12:28;SAOXbQtictzpnIbCFZv1;0;FALSO;70.43061066;FALSO;90;21/11/2023 12:29;2;FALSO;21/11/2023 12:28;VERDADERO;4;3;FALSO;2;Hablar;2;SAOXbQtictzpnIbCFZv1;3;;21/11/2023 12:27;
24;0;21/11/2023 11:58;SAOXbQtictzpnIbCFZv1;0;FALSO;62.7849884;FALSO;91;21/11/2023 11:58;2;FALSO;21/11/2023 11:58;VERDADERO;5;2;FALSO;2;Leer;2;SAOXbQtictzpnIbCFZv1;3;{'fearful': 0.003773248879634982, 'disgusted': 0.0045884517280504805, 'angry': 0.06970889114507103, 'sad': 0.28931575074357957, 'surprised': 0.0025077386885036684, 'neutral': 0.6239535071068064, 'happy': 0.006152421564563775};21/11/2023 11:57;0
25;0;21/11/2023 11:29;SAOXbQtictzpnIbCFZv1;0;FALSO;59.60915375;FALSO;93;21/11/2023 11:30;2;FALSO;21/11/2023 11:28;VERDADERO;4;3;FALSO;2;Leer;3;SAOXbQtictzpnIbCFZv1;3;{'fearful': 2.5952525218963768e-05, 'disgusted': 9.975056746170066e-05, 'angry': 0.014986037857064857, 'sad': 0.24941995914923784, 'surprised': 0.00015542302568449903, 'neutral': 0.7296810021069623, 'happy': 0.005631874193178999};21/11/2023 11:27;0
26;0;21/11/2023 10:58;SAOXbQtictzpnIbCFZv1;0;FALSO;79.38272095;FALSO;94;21/11/2023 10:58;2;FALSO;21/11/2023 10:58;VERDADERO;3;2;FALSO;2;Estudiar;2;SAOXbQtictzpnIbCFZv1;3;{'fearful': 0.0005267726922007236, 'disgusted': 0.10081766674096039, 'angry': 0.15835112241481078, 'sad': 0.28783863462093806, 'surprised': 0.004588200058267766, 'neutral': 0.3332013865160156, 'happy': 0.11467620661252437};21/11/2023 10:57;0
27;0;21/11/2023 10:28;SAOXbQtictzpnIbCFZv1;0;FALSO;61.19884109;FALSO;95;21/11/2023 10:28;2;FALSO;21/11/2023 10:28;VERDADERO;4;2;FALSO;2;Estudiar;4;SAOXbQtictzpnIbCFZv1;3;{'fearful': 8.825013291466595e-07, 'disgusted': 6.907475316833887e-06, 'angry': 0.017261185274928904, 'sad': 0.03797450799947097, 'surprised': 0.00013579668389516238, 'neutral': 0.9446107664350732, 'happy': 9.948451513817595e-06};21/11/2023 10:27;0
28;0;21/11/2023 09:59;SAOXbQtictzpnIbCFZv1;0;FALSO;60.12932205;FALSO;96;21/11/2023 09:59;2;FALSO;21/11/2023 09:58;VERDADERO;3;2;FALSO;2;Estudiar;4;SAOXbQtictzpnIbCFZv1;3;{'fearful': 0.004845722641996795, 'disgusted': 0.009785600019905066, 'angry': 0.008713933836690765, 'sad': 0.23713009293408643, 'surprised': 0.0002001916200850856, 'neutral': 0.719336290451649, 'happy': 0.019988179272831013};21/11/2023 09:57;0
29;0;21/11/2023 09:28;SAOXbQtictzpnIbCFZv1;0;FALSO;52.74979401;FALSO;98;21/11/2023 09:28;2;FALSO;21/11/2023 09:28;VERDADERO;4;2;FALSO;2;Leer;4;SAOXbQtictzpnIbCFZv1;3;{'fearful': 5.949902793933824e-06, 'disgusted': 0.0006406053623729319, 'angry': 0.019248746945266203, 'sad': 0.08823370692380708, 'surprised': 0.0014283228048931206, 'neutral': 0.8714207503106445, 'happy': 0.019021919041459015};21/11/2023 09:27;0
30;0;17/11/2023 13:38;SAOXbQtictzpnIbCFZv1;0;FALSO;66.13707733;FALSO;39;17/11/2023 13:38;5;FALSO;17/11/2023 13:28;VERDADERO;5;5;FALSO;2;Hablar;1;SAOXbQtictzpnIbCFZv1;;;17/11/2023 13:29;-1
31;1;17/11/2023 12:52;SAOXbQtictzpnIbCFZv1;0;FALSO;66.54718018;FALSO;41;17/11/2023 12:52;5;FALSO;17/11/2023 12:49;VERDADERO;4;5;FALSO;2;Leer;2;SAOXbQtictzpnIbCFZv1;3;{'fearful': 2.7362246583090277e-12, 'disgusted': 4.867954372933525e-10, 'angry': 2.021473477498148e-07, 'sad': 9.851832238894076e-09, 'surprised': 7.859396333742552e-08, 'neutral': 0.9999995231628418, 'happy': 7.765930831737933e-08};17/11/2023 12:49;0
32;0;17/11/2023 12:09;SAOXbQtictzpnIbCFZv1;1;FALSO;62.04867554;FALSO;43;17/11/2023 12:09;5;FALSO;17/11/2023 12:08;VERDADERO;3;4;FALSO;2;Leer;4;SAOXbQtictzpnIbCFZv1;2;{'fearful': 5.467060484876107e-11, 'disgusted': 2.04034069639647e-08, 'angry': 1.4207270169208641e-06, 'sad': 1.7309228894646367e-07, 'surprised': 3.992401161667658e-06, 'neutral': 0.9999940395355225, 'happy': 3.535036796620261e-07};17/11/2023 12:09;0
