Column1;index;stress;reaction_time;id_user;physical_activity;airplane_mode;surrounding_sound;screen;battery_level;completion_time;day_of_week;mobile_data;delivery_time;wifi;interruptibility_level;stress_level;charge_status;notification_ringtone;current_activity;priority_current_activity;id_user_1;attention_level;emotions;timestamp;interaction_others
6;80;0;;Ep2LC68YIjMF97rWUWRW;0;0;60.93770599;0;88;;4;0;30/11/2023 10:12;1;;2;0;2;;;Ep2LC68YIjMF97rWUWRW;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};30/11/2023 10:12;-1
7;271;0;;Ep2LC68YIjMF97rWUWRW;0;0;77.78603363;0;90;;4;0;30/11/2023 09:42;1;;4;0;2;;;Ep2LC68YIjMF97rWUWRW;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};30/11/2023 09:42;-1
8;140;0;;IRe1FM7QipWVKWTEORJu;0;0;81.20337677;0;70;;2;0;5/12/2023 16:55;1;;2;0;2;;;IRe1FM7QipWVKWTEORJu;3;{'fearful': 5.042114580472172e-06, 'disgusted': 0.007412723157205529, 'angry': 0.007205996705970897, 'sad': 0.01718299639490933, 'surprised': 0.017039671914818696, 'neutral': 0.947734903626972, 'happy': 0.003418675029889316};5/12/2023 16:55;0
19;132;1;;IRe1FM7QipWVKWTEORJu;0;0;74.47075653;0;94;;2;0;5/12/2023 10:17;1;;5;0;2;;;IRe1FM7QipWVKWTEORJu;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};5/12/2023 10:17;-1
20;108;0;;SAOXbQtictzpnIbCFZv1;0;0;85.66828918;0;84;;2;0;21/11/2023 14:58;1;;4;0;2;;;SAOXbQtictzpnIbCFZv1;3;{'fearful': 1.5132302295956838e-06, 'disgusted': 0.027255257460443286, 'angry': 0.5446763676531322, 'sad': 0.26990287519418804, 'surprised': 8.496034510898564e-06, 'neutral': 0.15770971556745092, 'happy': 0.00044577077968908555};21/11/2023 14:58;0
35;223;0;;Sh5dn1jKmJfX7NtRSf78;0;0;74.02963257;1;40;;1;0;4/12/2023 13:22;1;;5;0;2;;;Sh5dn1jKmJfX7NtRSf78;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};4/12/2023 13:22;-1
40;103;0;;Sh5dn1jKmJfX7NtRSf78;0;0;67.78686523;0;56;;1;0;27/11/2023 16:18;1;;5;0;2;;;Sh5dn1jKmJfX7NtRSf78;3;{'fearful': 0.009570099927576459, 'disgusted': 0.004577649160904395, 'angry': 0.05416651021201128, 'sad': 0.041557954013726965, 'surprised': 0.0046463237047228234, 'neutral': 0.8740957707930838, 'happy': 0.011385688305894388};27/11/2023 16:18;0
44;92;0;;Sh5dn1jKmJfX7NtRSf78;0;0;74.07098389;0;65;;1;0;27/11/2023 13:59;1;;1;0;2;;;Sh5dn1jKmJfX7NtRSf78;3;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};27/11/2023 13:59;-1
54;195;0;;TVapOofLiAEkGDH28N6X;1;0;71.97143555;0;53;;3;0;17/01/2024 12:08;1;;5;0;2;;;TVapOofLiAEkGDH28N6X;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};17/01/2024 12:08;-1
70;123;1;;U1pFqzoeTEI4roTUtXRE;0;0;70.72864532;0;37;;2;0;19/12/2023 12:31;1;;5;0;2;;;U1pFqzoeTEI4roTUtXRE;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};19/12/2023 12:31;-1
